ID,Order_Date,Customer_Name,Email_Address,Phone_Number,Country,City,Category,Item_Name,Qty,Price_Per_Unit,Discount_Percentage,Tax_Amount,Shipping_Fee,Total_Price,Payment_Type,Status,Age,Gender,Source,Loyalty,Address,Comments
TRX-1449,01-23-24,Unknown User,duplicate@company.com,549-235-8620,France,bErLiN,Clothing,Product-27,two,463.17793315344016,None,TBD,23.128147935922104,,cc,Shipped,-5,NB,Ads,Y,"708 Main St, bErLiN",
TRX-1662,Invalid_Date,Unknown User,duplicate@company.com,(537) 5870224,united states,bErLiN,Furniture,Product-37,-1,$245.34,None,8%,20.122657839502835,,wire,Shipped,52,M,Google,Yes,"33 Main St, bErLiN",
TRX-1493,Invalid_Date,Chris-O'Brian,user123@yahoo,N/A,Canada,london,Food,Product-41,5,0.00,5%,8%,23.231078264627236,,Paypal,SHIPPED,21,NB,Ads,No,"640 Main St, london",
TRX-1690,18/03/2023,B.J. Miller,missing_at_sign.com,N/A,UK,  Paris  ,Food,Product-11,,$457.69,None,0.08,20.94123861759552,,Cash,Shipped,0,M,Referral,N,"572 Main St,   Paris  ",
TRX-1396,08-19-23,  mary smith,test@gmail.com,(223) 4669170,Canada,bErLiN,Office Supplies,Product-11,-1,$194.16,None,TBD,17.101444878695993,,Paypal,Shipped,-5,NB,Referral,1,"30 Main St, bErLiN",
TRX-1614,05/02/2023,Chris-O'Brian,test@gmail.com,(515) 4645001,Gerrmany,NEW YORK,Clothing,Product-28,8,480.4312471501145,10,8%,19.187645066474712,,Credit Card,  Cancelled  ,99+,Male,Referral,No,"817 Main St, NEW YORK",
TRX-1990,01-31-24,ALEX WONG,user123@yahoo,N/A,UK,NEW YORK,Electronics,Product-11,5,$38.60,5%,TBD,24.605145315761575,,wire,shipped,50,F,Social,N,"937 Main St, NEW YORK",
TRX-1632,Invalid_Date,B.J. Miller,  space@web.de,(297) 2636159,united states,bErLiN,Clothing,Product-4,,496.06000939780006,5%,8%,14.737182917575584,,wire,SHIPPED,51,Male,Google,0,"610 Main St, bErLiN",
TRX-1753,Invalid_Date,Chris-O'Brian,duplicate@company.com,978-202-5760,France,london,Electronics,Product-33,,0.00,None,8%,23.132085885104384,,cc,Shipped,-5,NB,Social,0,"356 Main St, london",
TRX-1649,25/10/2023,Null,missing_at_sign.com,(955) 8747697,united states,bErLiN,Food,Product-46,,78.20376189968947,0.15,TBD,18.170173422521305,,cc,Shipped,99+,Male,??,No,"916 Main St, bErLiN",
TRX-1735,02/03/2023,Unknown User,user123@yahoo,N/A,France,  Paris  ,Clothing,Product-41,5,231.9371713885631,10,0.08,10.027307090403328,,Cash,Pending,99+,F,??,N,"453 Main St,   Paris  ",
TRX-1682,06/09/2023,Chris-O'Brian,test@gmail.com,N/A,USA,Toronto,Food,Product-12,-1,0.00,5%,0.08,9.172497759274393,,Paypal,shipped,57,Female,Referral,Y,"546 Main St, Toronto",
TRX-1015,Invalid_Date,John Doe,missing_at_sign.com,749-783-6830,united states,bErLiN,Electronics,Product-40,-1,335.99435095558306,None,TBD,11.015048335632882,,cc,  Cancelled  ,99+,NB,Ads,Y,"731 Main St, bErLiN",
TRX-1411,18/01/2023,  mary smith,duplicate@company.com,(183) 9180640,Gerrmany,Toronto,Furniture,Product-27,5,370.28116526180435,None,0.08,24.271791284273515,,Cash,Shipped,0,F,Social,0,"715 Main St, Toronto",
TRX-1107,09-07-23,Chris-O'Brian,user123@yahoo,182-548-3629,Gerrmany,  Paris  ,Clothing,Product-26,4,0.00,0.15,8%,20.329042997888912,,Cash,SHIPPED,-5,Male,Social,1,"834 Main St,   Paris  ",
TRX-1327,Invalid_Date,Chris-O'Brian,duplicate@company.com,(623) 2364330,Canada,bErLiN,Electronics,Product-40,two,0.00,0.15,0.08,17.878574625066733,,Cash,shipped,99+,M,Referral,0,"464 Main St, bErLiN",
TRX-1521,01-27-24,ALEX WONG,missing_at_sign.com,572-392-8815,Canada,NEW YORK,Office Supplies,Product-50,two,$280.54,None,TBD,20.826927926130526,,Cash,SHIPPED,99+,F,Referral,0,"374 Main St, NEW YORK",
TRX-1315,2023-02-12,Null,missing_at_sign.com,536-472-3463,U.S.A,  Paris  ,Food,Product-11,-1,0.00,5%,TBD,6.13675248954009,,cc,shipped,99+,M,Google,1,"334 Main St,   Paris  ",
TRX-1260,23/07/2023,Unknown User,test@gmail.com,532-836-5547,Canada,Toronto,Clothing,Product-37,5,0.00,10,TBD,15.414283454663662,,Paypal,shipped,59,Male,??,No,"667 Main St, Toronto",
TRX-1158,07-03-23,Chris-O'Brian,missing_at_sign.com,N/A,USA,Toronto,Food,Product-28,5,0.00,5%,8%,16.347915086339412,,Credit Card,shipped,72,M,Google,Yes,"211 Main St, Toronto",
TRX-1917,Invalid_Date,B.J. Miller,duplicate@company.com,N/A,Gerrmany,Toronto,Clothing,Product-20,,$447.47,0.15,TBD,14.72522210749371,,Cash,SHIPPED,99+,Unk,??,Y,"957 Main St, Toronto",
TRX-1782,03-24-23,John Doe,test@gmail.com,(470) 4377699,United Kingdom,Toronto,Clothing,Product-38,-1,300.2477115195877,0.15,8%,12.519263650062713,,cc,shipped,99+,F,??,Yes,"113 Main St, Toronto",
TRX-1839,2023-12-09,Unknown User,  space@web.de,(549) 8733733,UK,Toronto,Electronics,Product-35,two,455.98343829718436,5%,0.08,19.867307740962307,,Credit Card,Pending,99+,M,Ads,No,"228 Main St, Toronto",
TRX-1118,13/06/2023,ALEX WONG,duplicate@company.com,(205) 9221239,U.S.A,NEW YORK,Furniture,Product-29,6,0.00,0.15,TBD,12.690032352247108,,wire,  Cancelled  ,99+,NB,Referral,0,"894 Main St, NEW YORK",
TRX-1899,09/04/2023,B.J. Miller,duplicate@company.com,(931) 9820687,France,Toronto,Furniture,Product-24,two,$331.21,10,8%,18.154253006016194,,wire,Shipped,0,F,Social,No,"907 Main St, Toronto",
TRX-1922,06-22-23,  mary smith,test@gmail.com,N/A,Canda,NEW YORK,Clothing,Product-40,two,0.00,5%,0.08,11.260946117015887,,Credit Card,Shipped,26,Unk,Ads,1,"559 Main St, NEW YORK",
TRX-1682,2023-09-01,Null,  space@web.de,174-352-8037,U.S.A,london,Electronics,Product-1,two,247.71692446089,None,8%,6.617218411034669,,Credit Card,  Cancelled  ,-5,Male,Social,No,"356 Main St, london",
TRX-1693,Invalid_Date,Null,duplicate@company.com,N/A,USA,  Paris  ,Clothing,Product-19,-1,180.12373150942452,0.15,8%,17.01115291299223,,Paypal,  Cancelled  ,-5,NB,Google,N,"10 Main St,   Paris  ",
TRX-1853,07-14-23,Null,duplicate@company.com,(832) 5032195,Gerrmany,london,Office Supplies,Product-41,two,0.00,10,8%,11.083312401867678,,Cash,Shipped,0,NB,Ads,0,"8 Main St, london",
TRX-1703,Invalid_Date,  mary smith,  space@web.de,996-354-3786,Gerrmany,london,Food,Product-47,5,86.433257471101,10,8%,11.746017196533318,,Cash,shipped,99+,Female,Ads,0,"697 Main St, london",
TRX-1757,12/03/2023,Unknown User,test@gmail.com,(362) 8114189,U.K.,NEW YORK,Furniture,Product-34,,$489.15,None,TBD,8.309017578020368,,Paypal,  Cancelled  ,49,M,Google,0,"954 Main St, NEW YORK",
TRX-1020,05-22-23,  mary smith,user123@yahoo,N/A,France,london,Clothing,Product-3,-1,0.00,0.15,0.08,15.076500965912572,,wire,Pending,0,NB,Social,No,"167 Main St, london",
TRX-1359,Invalid_Date,B.J. Miller,  space@web.de,N/A,Canada,  Paris  ,Clothing,Product-10,5,$252.19,10,8%,21.074444407158865,,Paypal,Delivrd,-5,Male,??,Y,"141 Main St,   Paris  ",
TRX-1878,06/04/2023,John Doe,  space@web.de,N/A,U.S.A,  Paris  ,Office Supplies,Product-36,8,$347.63,10,TBD,11.362361677965733,,Cash,Pending,99+,M,Ads,Y,"52 Main St,   Paris  ",
TRX-1296,29/10/2023,Chris-O'Brian,  space@web.de,828-318-7144,Canda,  Paris  ,Clothing,Product-14,-1,155.7994194873426,0.15,TBD,13.635044130339402,,Credit Card,Delivrd,0,NB,Social,1,"147 Main St,   Paris  ",
TRX-1464,08-09-23,ALEX WONG,  space@web.de,976-736-2111,USA,london,Food,Product-49,two,466.15735590769117,None,TBD,22.28314818842473,,wire,  Cancelled  ,99+,Female,??,N,"420 Main St, london",
TRX-1117,2023-11-16,B.J. Miller,missing_at_sign.com,N/A,U.K.,  Paris  ,Clothing,Product-7,-1,0.00,5%,TBD,15.42383244654802,,wire,Pending,74,M,Social,1,"541 Main St,   Paris  ",
TRX-1622,2023-01-15,B.J. Miller,test@gmail.com,N/A,Canda,NEW YORK,Electronics,Product-47,-1,324.4510423933662,0.15,8%,17.96281022924009,,cc,shipped,-5,M,Social,0,"898 Main St, NEW YORK",
TRX-2000,2023-02-05,B.J. Miller,duplicate@company.com,(724) 1176225,UK,london,Clothing,Product-49,-1,0.00,5%,TBD,21.39370052299185,,cc,Delivrd,46,NB,Google,0,"135 Main St, london",
TRX-1682,07/05/2023,B.J. Miller,test@gmail.com,132-935-8763,U.K.,Toronto,Clothing,Product-40,3,$469.78,10,0.08,15.174297930771862,,wire,Delivrd,0,Female,Social,No,"994 Main St, Toronto",
TRX-1896,Invalid_Date,  mary smith,test@gmail.com,854-158-5584,U.S.A,NEW YORK,Office Supplies,Product-45,-1,0.00,0.15,TBD,23.791588820647803,,Paypal,SHIPPED,0,Male,Social,Y,"635 Main St, NEW YORK",
TRX-1194,2023-02-25,  mary smith,test@gmail.com,N/A,France,Toronto,Furniture,Product-17,5,$185.36,None,0.08,18.849672825083317,,Cash,Pending,-5,M,??,0,"394 Main St, Toronto",
TRX-1708,03-08-23,  mary smith,  space@web.de,(294) 2478905,U.K.,london,Office Supplies,Product-19,9,$391.56,0.15,TBD,22.00433123859765,,cc,Delivrd,0,Male,??,Y,"56 Main St, london",
TRX-1181,09/03/2023,B.J. Miller,  space@web.de,N/A,USA,Toronto,Food,Product-32,two,0.00,None,0.08,23.045401315540637,,cc,Shipped,63,Female,Referral,N,"305 Main St, Toronto",
TRX-1656,2023-03-15,Null,test@gmail.com,971-876-4150,UK,  Paris  ,Furniture,Product-47,8,338.4175616817711,10,0.08,13.887243401315532,,cc,SHIPPED,99+,Female,Ads,Y,"216 Main St,   Paris  ",
TRX-1704,Invalid_Date,  mary smith,duplicate@company.com,N/A,United Kingdom,london,Furniture,Product-22,two,$22.87,0.15,0.08,10.231153316951517,,Cash,Delivrd,55,F,Ads,1,"261 Main St, london",
TRX-1503,26/02/2023,B.J. Miller,test@gmail.com,N/A,U.K.,london,Furniture,Product-12,5,$489.65,None,8%,17.677905879960136,,Paypal,Delivrd,99+,M,Ads,No,"695 Main St, london",
TRX-1847,Invalid_Date,Null,user123@yahoo,(886) 4526520,USA,NEW YORK,Furniture,Product-7,-1,107.15046903066707,0.15,TBD,10.596452301729514,,Paypal,Pending,0,NB,Referral,0,"638 Main St, NEW YORK",
TRX-1942,2023-06-05,Chris-O'Brian,duplicate@company.com,591-655-6260,UK,  Paris  ,Clothing,Product-47,5,302.27166966377695,0.15,8%,14.832039751628013,,cc,  Cancelled  ,99+,NB,Ads,Yes,"516 Main St,   Paris  ",
TRX-1662,Invalid_Date,John Doe,  space@web.de,528-509-4761,Gerrmany,NEW YORK,Office Supplies,Product-6,two,0.00,10,0.08,17.111818908698474,,Cash,Pending,0,Unk,Social,0,"588 Main St, NEW YORK",
TRX-1116,02-06-23,John Doe,  space@web.de,(605) 7656217,U.S.A,london,Food,Product-31,,$446.71,None,8%,9.006093965992408,,Paypal,SHIPPED,-5,F,??,No,"227 Main St, london",
TRX-1309,12-08-23,B.J. Miller,missing_at_sign.com,N/A,United Kingdom,NEW YORK,Office Supplies,Product-20,-1,288.1099226264885,0.15,TBD,21.381519491081157,,Cash,Shipped,0,NB,??,0,"224 Main St, NEW YORK",
TRX-1235,02-01-24,ALEX WONG,test@gmail.com,N/A,United Kingdom,bErLiN,Office Supplies,Product-10,5,59.45166413221372,10,0.08,24.113810243189548,,cc,Delivrd,99+,NB,Google,1,"957 Main St, bErLiN",
TRX-1230,2023-02-13,Null,  space@web.de,N/A,UK,  Paris  ,Food,Product-34,,$459.25,0.15,8%,15.637904865542055,,Credit Card,Pending,0,Male,Google,0,"562 Main St,   Paris  ",
TRX-1146,Invalid_Date,Null,test@gmail.com,N/A,U.S.A,  Paris  ,Furniture,Product-47,,$339.90,None,0.08,6.544899728546265,,Credit Card,  Cancelled  ,0,Unk,??,1,"649 Main St,   Paris  ",
TRX-1326,2023-12-03,Unknown User,test@gmail.com,(499) 2340450,united states,london,Food,Product-20,two,$185.36,None,TBD,16.31421754412745,,Paypal,Delivrd,47,NB,Google,Yes,"762 Main St, london",
TRX-1241,Invalid_Date,Null,missing_at_sign.com,(137) 1496323,France,london,Clothing,Product-26,1,0.00,None,0.08,18.350408174809065,,wire,  Cancelled  ,-5,F,Referral,No,"103 Main St, london",
TRX-1667,2023-06-21,Chris-O'Brian,test@gmail.com,108-666-8124,UK,london,Office Supplies,Product-23,,114.33327405062725,5%,0.08,10.417201094286309,,wire,shipped,0,NB,??,Y,"828 Main St, london",
TRX-1545,Invalid_Date,B.J. Miller,duplicate@company.com,(835) 8024192,Gerrmany,  Paris  ,Electronics,Product-12,5,$126.55,None,TBD,22.899840718981284,,Paypal,Pending,-5,F,Referral,No,"232 Main St,   Paris  ",
TRX-1342,Invalid_Date,ALEX WONG,user123@yahoo,N/A,Canda,NEW YORK,Clothing,Product-31,-1,314.09264742124674,0.15,TBD,12.474594848791543,,cc,  Cancelled  ,49,Unk,Google,1,"441 Main St, NEW YORK",
TRX-1261,2023-07-30,ALEX WONG,  space@web.de,N/A,U.K.,Toronto,Electronics,Product-8,-1,281.4106253520975,0.15,0.08,15.53432011654154,,cc,shipped,99+,Male,??,N,"785 Main St, Toronto",
TRX-1344,21/04/2023,John Doe,user123@yahoo,756-500-2242,Canada,NEW YORK,Furniture,Product-35,7,0.00,None,8%,22.348337616275543,,Paypal,Pending,99+,Female,??,Yes,"691 Main St, NEW YORK",
TRX-1223,2023-08-20,B.J. Miller,test@gmail.com,(651) 1358087,UK,Toronto,Electronics,Product-45,3,212.75363054532545,None,0.08,11.350349997595519,,Cash,shipped,-5,Unk,Ads,N,"200 Main St, Toronto",
TRX-1998,2023-12-28,  mary smith,duplicate@company.com,246-915-3302,UK,london,Electronics,Product-4,-1,0.00,10,8%,11.044809616010689,,wire,Pending,99+,Female,Google,Yes,"179 Main St, london",
TRX-1237,04-13-23,Unknown User,  space@web.de,N/A,Canda,  Paris  ,Office Supplies,Product-1,5,0.00,10,TBD,8.095395846366104,,Credit Card,Shipped,99+,Female,Google,0,"293 Main St,   Paris  ",
TRX-1328,08-31-23,Null,test@gmail.com,N/A,UK,bErLiN,Electronics,Product-6,,75.90335999569085,0.15,TBD,11.242899987579486,,Paypal,  Cancelled  ,99+,Female,??,No,"90 Main St, bErLiN",
TRX-1244,2023-10-08,Null,test@gmail.com,831-801-4573,Canada,Toronto,Furniture,Product-45,7,471.63581423914115,0.15,TBD,13.280965697250496,,wire,SHIPPED,0,Female,Google,0,"738 Main St, Toronto",
TRX-1327,2023-10-02,Chris-O'Brian,test@gmail.com,N/A,united states,bErLiN,Furniture,Product-11,4,0.00,None,TBD,18.531072366628596,,wire,shipped,99+,M,Google,Yes,"697 Main St, bErLiN",
TRX-1572,2023-11-03,John Doe,  space@web.de,N/A,Canda,  Paris  ,Food,Product-34,4,446.2057151865605,None,8%,5.117653237127351,,wire,shipped,0,Male,Ads,Y,"255 Main St,   Paris  ",
TRX-1497,30/05/2023,ALEX WONG,duplicate@company.com,N/A,U.K.,bErLiN,Clothing,Product-31,8,0.00,10,8%,6.105739266126071,,Credit Card,SHIPPED,46,NB,Google,Yes,"300 Main St, bErLiN",
,25/11/2023,Null,duplicate@company.com,555-887-3866,USA,london,Clothing,Product-10,6,$167.79,5%,8%,23.339612838111044,,Paypal,Pending,0,Male,Google,1,"480 Main St, london",Call before delivery
TRX-1812,Invalid_Date,Unknown User,duplicate@company.com,(806) 8868992,Gerrmany,Toronto,Furniture,Product-37,5,$364.70,0.15,0.08,20.86187015614218,,wire,Delivrd,23,M,Social,Yes,"49 Main St, Toronto",
TRX-1739,15/01/2023,ALEX WONG,duplicate@company.com,(148) 7491167,U.S.A,NEW YORK,Food,Product-27,5,$424.03,None,8%,22.845023541767336,,wire,  Cancelled  ,19,Male,??,N,"965 Main St, NEW YORK",
TRX-1025,07-06-23,B.J. Miller,duplicate@company.com,N/A,France,  Paris  ,Electronics,Product-31,two,34.3513340670784,0.15,8%,21.793942305722403,,wire,Pending,-5,Male,Ads,N,"230 Main St,   Paris  ",
TRX-1164,03-26-23,ALEX WONG,test@gmail.com,338-336-4146,U.S.A,NEW YORK,Furniture,Product-31,8,$23.77,None,TBD,7.7879190740446935,,cc,Shipped,99+,Female,Social,0,"85 Main St, NEW YORK",
TRX-1759,Invalid_Date,John Doe,duplicate@company.com,N/A,Canada,NEW YORK,Clothing,Product-7,7,177.42930241838087,10,TBD,11.088318613901757,,Credit Card,Delivrd,99+,Male,Social,0,"323 Main St, NEW YORK",
TRX-1463,01-09-24,Null,  space@web.de,741-402-4811,UK,NEW YORK,Furniture,Product-3,,255.4321949032196,None,8%,11.863781363250581,,Cash,shipped,99+,Male,??,0,"35 Main St, NEW YORK",
TRX-1751,01-19-24,Chris-O'Brian,test@gmail.com,(892) 5029961,United Kingdom,london,Furniture,Product-5,,351.6199666997567,None,0.08,13.059561964234227,,wire,SHIPPED,73,F,Ads,Yes,"654 Main St, london",
TRX-1544,01-10-23,  mary smith,duplicate@company.com,(936) 3566569,France,  Paris  ,Electronics,Product-14,two,$204.14,None,TBD,6.988225319238226,,Cash,Shipped,99+,M,Google,0,"272 Main St,   Paris  ",
TRX-1041,Invalid_Date,Chris-O'Brian,duplicate@company.com,(105) 8544940,U.S.A,Toronto,Electronics,Product-7,,$365.34,0.15,8%,11.179997150952449,,wire,Delivrd,-5,F,Ads,Yes,"377 Main St, Toronto",
TRX-1368,24/04/2023,Unknown User,duplicate@company.com,(306) 2706761,U.K.,london,Office Supplies,Product-25,5,$468.31,5%,8%,7.694488214371558,,wire,shipped,0,NB,Google,1,"234 Main St, london",
TRX-1351,2023-01-20,  mary smith,user123@yahoo,N/A,Canda,  Paris  ,Food,Product-46,two,458.48708735532,5%,TBD,16.22449233191423,,Credit Card,Delivrd,99+,Female,Social,No,"114 Main St,   Paris  ",
TRX-1651,04/06/2023,Unknown User,duplicate@company.com,N/A,United Kingdom,  Paris  ,Clothing,Product-32,,0.00,0.15,TBD,20.73304412355476,,Paypal,  Cancelled  ,99+,M,Social,Y,"849 Main St,   Paris  ",
TRX-1082,Invalid_Date,John Doe,missing_at_sign.com,932-463-4092,UK,london,Clothing,Product-40,,0.00,10,TBD,12.78313257046027,,Cash,SHIPPED,99+,F,Referral,No,"115 Main St, london",
TRX-1998,2023-05-15,  mary smith,duplicate@company.com,N/A,USA,london,Office Supplies,Product-6,2,16.10701218896908,None,TBD,14.363865187404397,,Cash,shipped,-5,F,Social,1,"313 Main St, london",
TRX-1757,01-12-24,  mary smith,test@gmail.com,(367) 9032352,U.K.,NEW YORK,Office Supplies,Product-10,,0.00,5%,0.08,6.603668217806824,,Cash,Delivrd,0,Unk,??,1,"878 Main St, NEW YORK",
TRX-1791,Invalid_Date,  mary smith,user123@yahoo,(489) 4745685,U.K.,  Paris  ,Furniture,Product-35,-1,$409.23,0.15,8%,6.051459194612477,,Paypal,shipped,99+,F,Ads,N,"63 Main St,   Paris  ",
TRX-1319,11-09-23,  mary smith,user123@yahoo,(129) 3683996,U.K.,  Paris  ,Office Supplies,Product-21,5,$138.53,10,8%,19.423074383530135,,Paypal,Shipped,19,NB,Social,0,"287 Main St,   Paris  ",
TRX-1738,2023-10-02,Unknown User,missing_at_sign.com,N/A,Gerrmany,bErLiN,Furniture,Product-31,-1,0.00,5%,TBD,16.46422166514538,,cc,Pending,23,Unk,Ads,No,"304 Main St, bErLiN",
TRX-1777,Invalid_Date,  mary smith,test@gmail.com,839-391-7702,U.K.,  Paris  ,Food,Product-13,-1,432.5967150637919,None,0.08,20.098579648417974,,Cash,shipped,36,Male,Google,0,"362 Main St,   Paris  ",
TRX-1474,2023-08-21,Chris-O'Brian,test@gmail.com,865-560-5124,United Kingdom,bErLiN,Food,Product-27,5,$270.90,None,8%,16.86851918698932,,wire,shipped,-5,Male,Social,0,"464 Main St, bErLiN",
TRX-1281,Invalid_Date,ALEX WONG,duplicate@company.com,(480) 1298621,Canada,london,Furniture,Product-31,-1,389.34272213718793,10,0.08,7.244869944566799,,Credit Card,SHIPPED,99+,M,Referral,Yes,"665 Main St, london",
TRX-1884,01-30-23,Chris-O'Brian,user123@yahoo,925-121-5215,united states,london,Electronics,Product-4,-1,166.70100891477776,None,0.08,10.284028453079381,,cc,  Cancelled  ,-5,Female,Referral,No,"334 Main St, london",
